,mean radius,mean texture,mean smoothness,mean compactness,mean symmetry,mean fractal dimension,texture error,smoothness error,symmetry error,worst symmetry
282,18.77,21.43,0.09116,0.1402,0.1953,0.06083,1.53,0.007548,0.02168,0.3679
283,11.27,12.96,0.1237,0.1111,0.2018,0.06914,0.9858,0.006635,0.02108,0.3343
284,9.676,13.14,0.1255,0.2204,0.2057,0.09575,1.39,0.02177,0.02632,0.2848
285,16.02,23.24,0.08206,0.06669,0.1528,0.05697,1.187,0.004029,0.0146,0.2948
286,10.71,20.39,0.1082,0.1289,0.1668,0.06862,1.489,0.008902,0.02728,0.2605
287,12.18,17.84,0.1045,0.07057,0.19,0.06635,1.511,0.005433,0.0222,0.2227
288,20.58,22.14,0.0909,0.1348,0.1765,0.05024,1.48,0.008124,0.03176,0.2909
289,13.64,15.6,0.09423,0.0663,0.1717,0.0566,0.6612,0.00647,0.01898,0.253
290,14.71,21.59,0.1137,0.1365,0.2027,0.06758,1.15,0.003659,0.01817,0.3698
291,12.0,28.23,0.08437,0.0645,0.1615,0.06104,1.705,0.007334,0.01745,0.2447
292,12.46,19.89,0.08451,0.1014,0.1781,0.06249,1.04,0.00653,0.0274,0.2685
293,10.88,15.62,0.1007,0.1069,0.1861,0.06837,0.538,0.004474,0.01212,0.2581
294,9.436,18.32,0.1009,0.05956,0.1506,0.06959,1.247,0.006836,0.01942,0.2454
295,14.25,21.72,0.09823,0.1098,0.1885,0.06125,1.019,0.005878,0.02028,0.3591
296,18.63,25.11,0.1064,0.1887,0.2183,0.06197,1.466,0.006248,0.02007,0.3444
297,13.08,15.71,0.1075,0.127,0.1967,0.06811,0.7477,0.004097,0.01678,0.3184
298,11.75,17.56,0.1073,0.09713,0.1598,0.06677,1.907,0.006587,0.01835,0.2478
299,11.22,19.86,0.1054,0.06779,0.194,0.06028,1.966,0.01289,0.04243,0.3292
300,16.07,19.65,0.09168,0.08424,0.1798,0.05391,1.016,0.01082,0.0155,0.265
301,12.23,19.56,0.09586,0.08087,0.1979,0.06013,1.326,0.007514,0.01503,0.2668
302,18.05,16.15,0.1065,0.2146,0.2152,0.06673,0.5505,0.00794,0.02591,0.3751
303,15.61,19.38,0.0784,0.05616,0.1547,0.05443,0.9988,0.002826,0.01013,0.2683
304,13.81,23.75,0.1323,0.1768,0.2251,0.07421,1.93,0.008824,0.01998,0.4432
305,13.74,17.91,0.07944,0.06376,0.1473,0.0558,0.7574,0.002838,0.01329,0.235
306,12.83,15.73,0.0904,0.08269,0.1705,0.05913,0.4875,0.004873,0.01601,0.3006
307,13.53,10.94,0.1291,0.1047,0.2403,0.06641,1.014,0.0134,0.02572,0.271
308,19.69,21.25,0.1096,0.1599,0.2069,0.05999,0.7869,0.00615,0.0225,0.3613
309,13.87,20.7,0.09578,0.1018,0.162,0.06688,1.047,0.006298,0.0149,0.2249
310,11.62,18.18,0.1175,0.1483,0.1957,0.07255,1.74,0.01459,0.01807,0.266
311,11.94,18.24,0.08261,0.04751,0.1868,0.0611,0.6329,0.00721,0.01996,0.2785
312,17.29,22.13,0.08999,0.1273,0.2108,0.05464,1.633,0.006717,0.02747,0.3067
313,27.42,26.27,0.1084,0.1988,0.2061,0.05623,1.306,0.00765,0.01697,0.2641
314,17.3,17.08,0.1008,0.1041,0.1813,0.05613,0.8568,0.004757,0.01394,0.3138
315,13.28,13.72,0.08363,0.08575,0.1617,0.05594,0.5308,0.004271,0.01461,0.2736
316,15.53,33.56,0.1063,0.1639,0.2091,0.0665,1.278,0.005345,0.009947,0.3512
317,11.25,14.78,0.08306,0.04458,0.1773,0.06081,0.9961,0.005617,0.017,0.2815
318,22.01,21.9,0.1063,0.1954,0.1824,0.0614,0.6999,0.003978,0.01518,0.2741
319,20.16,19.66,0.0802,0.08564,0.1928,0.05096,0.6863,0.004536,0.02193,0.3055
320,11.41,14.92,0.09059,0.08155,0.1167,0.06217,1.108,0.007356,0.02165,0.1811
321,8.219,20.7,0.09405,0.1305,0.2222,0.08261,1.962,0.01243,0.02309,0.3322
322,11.89,18.35,0.09363,0.1154,0.1967,0.06314,1.563,0.008872,0.02793,0.3397
323,9.405,21.7,0.1044,0.06159,0.2025,0.06601,2.878,0.01474,0.03044,0.2872
324,20.09,23.86,0.108,0.1838,0.2249,0.07469,1.743,0.007964,0.02736,0.3294
325,14.22,23.12,0.1075,0.2413,0.2384,0.07542,2.11,0.00797,0.05113,0.5166
326,12.31,16.52,0.09172,0.06829,0.172,0.05914,1.025,0.004854,0.01386,0.2618
327,11.47,16.03,0.09076,0.05886,0.1634,0.06372,0.7615,0.009191,0.01755,0.2851
328,13.75,23.77,0.08043,0.06807,0.1773,0.05429,1.057,0.004351,0.02598,0.2663
329,13.38,30.72,0.09245,0.07426,0.1375,0.06016,1.924,0.005841,0.01564,0.2196
330,11.2,29.37,0.07449,0.03558,0.106,0.05502,3.896,0.007594,0.01989,0.1566
331,19.02,24.59,0.09029,0.1206,0.1953,0.05629,0.6636,0.003872,0.01964,0.3956
332,17.46,39.28,0.09812,0.1298,0.1809,0.05966,0.8561,0.00486,0.01226,0.2853
333,12.9,15.92,0.08677,0.09509,0.1778,0.06235,0.7712,0.005324,0.02104,0.3549
334,18.31,20.58,0.1068,0.1248,0.186,0.05941,0.9225,0.006176,0.01559,0.3074
335,10.6,18.95,0.09688,0.1147,0.1922,0.06491,1.197,0.00747,0.03504,0.294
336,12.7,12.17,0.08785,0.05794,0.1583,0.06275,0.6457,0.006131,0.01713,0.2775
337,11.26,19.96,0.0802,0.1181,0.2595,0.06233,1.905,0.01574,0.03418,0.2955
338,11.71,16.67,0.1051,0.06095,0.1339,0.05945,2.508,0.006578,0.01359,0.1712
339,10.8,9.71,0.09594,0.05736,0.1381,0.064,0.4064,0.007809,0.01254,0.209
340,19.1,26.29,0.1215,0.1791,0.1634,0.07224,2.91,0.007545,0.03056,0.2311
341,20.47,20.67,0.09156,0.1313,0.2166,0.05419,1.736,0.004938,0.02816,0.322
342,12.25,17.94,0.08654,0.06679,0.197,0.06228,0.9823,0.005518,0.01799,0.3113
343,13.05,18.59,0.1082,0.1304,0.2035,0.06501,1.51,0.007807,0.0286,0.3113
344,11.04,14.93,0.07987,0.07079,0.2003,0.06246,1.031,0.005296,0.0188,0.3202
345,13.85,15.18,0.09516,0.07688,0.211,0.05853,0.9195,0.004235,0.01528,0.2955
346,13.61,24.69,0.09258,0.07862,0.1761,0.0613,1.005,0.004088,0.01323,0.347
347,15.34,14.26,0.1073,0.2135,0.2521,0.07032,0.7096,0.006789,0.03672,0.4667
348,19.4,18.18,0.1037,0.1442,0.1893,0.05892,0.9951,0.005654,0.01623,0.359
349,12.04,28.14,0.08752,0.06,0.1854,0.05698,2.643,0.007517,0.02047,0.2404
350,12.21,18.02,0.09231,0.07175,0.1695,0.05916,0.7786,0.005833,0.01938,0.3218
351,17.14,16.4,0.1186,0.2276,0.304,0.07413,0.976,0.008029,0.02308,0.4066
352,13.77,22.29,0.12,0.1267,0.1834,0.06877,2.112,0.0138,0.02689,0.308
353,12.68,23.84,0.1122,0.1262,0.1905,0.0659,1.178,0.007781,0.01635,0.3383
354,14.54,27.54,0.1139,0.1595,0.2303,0.07077,1.033,0.005607,0.01857,0.4218
355,13.14,20.74,0.08675,0.1089,0.1562,0.0602,0.7884,0.007295,0.01561,0.2563
356,11.76,18.14,0.09968,0.05914,0.1619,0.06287,2.105,0.005596,0.01575,0.1978
357,12.99,14.23,0.09462,0.09965,0.1652,0.07238,0.6412,0.005231,0.01639,0.2432
358,14.58,21.53,0.1054,0.1868,0.2252,0.06924,0.9832,0.004452,0.01454,0.4264
359,13.28,20.28,0.1041,0.1436,0.1974,0.06782,0.8249,0.005072,0.01719,0.3739
360,12.47,17.31,0.08928,0.0763,0.1526,0.06046,0.781,0.003796,0.01536,0.3035
361,11.34,18.61,0.1049,0.08499,0.1927,0.06211,1.01,0.008577,0.02434,0.306
362,13.21,28.06,0.08671,0.06877,0.1628,0.05781,1.597,0.004973,0.01724,0.2473
363,12.62,17.15,0.08583,0.0543,0.1799,0.05826,0.6674,0.003888,0.01608,0.327
364,13.88,16.16,0.07026,0.04831,0.1607,0.05474,0.6218,0.003728,0.01647,0.2542
365,8.888,14.64,0.09783,0.1531,0.1902,0.0898,0.8522,0.01721,0.02541,0.2254
366,11.63,29.29,0.09357,0.08574,0.1799,0.06166,2.426,0.009861,0.02475,0.2884
367,12.4,17.68,0.1054,0.1316,0.1811,0.07102,1.46,0.01,0.02187,0.2556
368,17.19,22.07,0.09726,0.08995,0.1867,0.0558,0.7383,0.004493,0.01144,0.3216
369,15.27,12.91,0.08182,0.0623,0.1359,0.05526,0.3628,0.004291,0.009539,0.232
370,12.18,14.08,0.07734,0.03212,0.1673,0.05649,0.5996,0.005343,0.01977,0.2293
371,14.58,13.66,0.09832,0.08918,0.1739,0.0564,0.6237,0.004953,0.01539,0.2626
372,11.54,10.72,0.08597,0.05969,0.1833,0.061,0.3602,0.004124,0.02032,0.339
373,10.96,17.62,0.09687,0.09752,0.1619,0.06408,1.583,0.009501,0.01322,0.2289
374,12.43,17.0,0.07557,0.03454,0.1472,0.05561,2.2,0.007357,0.03433,0.1901
375,13.71,20.83,0.1189,0.1645,0.2196,0.07451,1.377,0.008805,0.01486,0.3196
376,21.61,22.28,0.1167,0.2087,0.2162,0.06606,0.9209,0.005215,0.02045,0.3828
377,16.11,18.05,0.09721,0.1137,0.1861,0.06248,1.332,0.00677,0.01875,0.2792
378,14.48,21.46,0.09444,0.09947,0.2075,0.05636,2.22,0.009369,0.02418,0.302
379,11.49,14.59,0.1046,0.08228,0.1779,0.06574,1.166,0.004957,0.01843,0.2941
380,23.09,19.83,0.09342,0.1275,0.1505,0.05484,0.7452,0.005753,0.02201,0.2908
381,13.86,16.93,0.1026,0.1517,0.2106,0.06916,1.194,0.00596,0.01939,0.363
382,11.06,14.83,0.07741,0.04768,0.1535,0.06214,0.6881,0.004259,0.01191,0.259
383,12.25,22.44,0.08192,0.052,0.1544,0.05976,1.139,0.005096,0.01608,0.31
384,19.73,19.82,0.1062,0.1849,0.1733,0.06697,0.78,0.008482,0.01467,0.2749
385,17.6,23.33,0.09289,0.2004,0.1696,0.07369,1.465,0.006766,0.01673,0.2301
386,13.87,16.21,0.08743,0.05492,0.1424,0.05883,1.363,0.005638,0.01544,0.2362
387,19.45,19.33,0.1035,0.1188,0.1776,0.05647,0.6342,0.004649,0.01365,0.3379
388,11.33,14.16,0.09379,0.03872,0.1954,0.05821,1.28,0.008426,0.02358,0.2758
389,13.01,22.22,0.06251,0.01938,0.1395,0.05234,1.142,0.003418,0.01613,0.2295
390,11.74,14.02,0.07813,0.0434,0.2101,0.06113,1.268,0.008034,0.02921,0.3101
391,10.26,12.22,0.09996,0.07542,0.18,0.06569,0.5477,0.005682,0.01938,0.2937
392,16.3,15.7,0.09427,0.06712,0.1711,0.05657,0.4706,0.007394,0.01344,0.23
393,19.79,25.12,0.1015,0.1589,0.2202,0.06113,1.199,0.005033,0.01578,0.3305
394,10.75,14.97,0.07793,0.05139,0.1399,0.05688,1.239,0.006547,0.01671,0.23
395,17.2,24.52,0.1071,0.183,0.1927,0.06487,1.041,0.00582,0.01527,0.3313
396,14.03,21.25,0.0907,0.06945,0.1517,0.05835,1.503,0.007389,0.01263,0.2226
397,13.03,18.42,0.08983,0.03766,0.1467,0.05863,2.342,0.004352,0.02671,0.1987
